sample,remeshed_cd,clipped_cd,reference_cd,cd_diff_percent,remeshed_cl,clipped_cl,reference_cl,cl_diff_percent,remeshed_pressure_drag,clipped_pressure_drag,pressure_drag_diff_percent,remeshed_viscous_drag,clipped_viscous_drag,viscous_drag_diff_percent
sample_000000019,-48.23815437530074,-46.999884449304744,0.010616970188628968,-2.5669927509291726,201.8442016487286,196.3143142137776,0.6611307376446854,-2.7396810955088635,-23.224508235530642,-22.620808521550778,-2.599407952398656,-25.36274857712657,-24.718613946984664,-2.5396877952053654
sample_000000020,-82.50943522413935,-81.11140226501959,0.017744052210288276,-1.6943916236027574,289.35951287001745,284.1011812443524,1.0551258045089809,-1.8172312959439956,-57.64003353807895,-56.600441808515185,-1.803593207274902,-25.64996753922284,-25.277341253642913,-1.4527358953188616
sample_000000021,-122.18406165989539,-121.03900254550055,0.02006045817003145,-0.9371591505790351,411.85162998180806,403.64702159277624,1.386226138820807,-1.9921272108099282,-99.87674760973186,-98.98012092525404,-0.8977331620582898,-23.733903787944133,-23.457044134828195,-1.1665154438545071
sample_000000022,-28.47544529651263,-28.522819371568758,0.01147931052123226,0.1663681623336428,159.7139403695218,158.96692965915466,0.5279271844395901,-0.4677179140648685,-0.8307711886768441,-0.8447255688985644,1.6796899569838561,-27.638446675194068,-27.671895496709283,0.12102279809102195
sample_000000023,-91.1537569836331,-87.98058384521345,0.014915330141242925,-3.481121616292138,327.6436114760231,326.1184628989885,1.0792871822490075,-0.4654901007115194,-66.19052625307523,-62.82951053784836,-5.077789686059072,-25.781653522394485,-25.965695003906543,0.7138466947133363
sample_000000024,-22.650554326341453,-21.90937691216613,0.010424318208777072,-3.272226381291561,169.5377911118412,162.99627250415563,0.5064373830067411,-3.8584427488324606,3.4125823939754873,3.268955697437899,-4.208739305200201,-26.038760440642044,-25.15489687335222,-3.3944149119720097
sample_000000025,-26.997104177548287,-26.377624380344905,0.011444344291544955,-2.29461572296544,49.85698167892682,47.771588331015195,0.13672075087113267,-4.1827508960356194,0.5473651062513895,1.1861441867067364,116.70073104038416,-27.53157435905617,-27.551412987841495,0.07205773460899224
sample_000000026,-72.77185088211542,-72.83355692696884,0.01227465718597321,0.08479383732232137,317.3703597268377,316.2623422134612,0.9567137977633754,-0.3491244470120651,-49.31542529750758,-49.04144118019686,-0.5555748848516273,-24.129903279955155,-24.463241455516457,1.3814318760167088
sample_000000027,-103.82935961437444,-103.80709142256649,0.015887692023512305,-0.021446912405756722,317.3513108717028,316.710878272213,1.0554024037811052,-0.20180556296764063,-79.66893647554589,-79.55639220541369,-0.14126493349983332,-25.12085283933719,-25.209189858659165,0.35164817009575255
sample_000000028,-25.861899361967186,-25.41967929961522,0.010201939123190637,-1.709928788147331,-7.108756153408545,-7.049294129340453,-0.029582814560297963,-0.8364617210787451,0.35437433398371315,0.3422439626476493,-3.423038909082331,-26.22201019142926,-25.767611847919213,-1.7328890508118555
sample_000000029,-28.52064560293739,-28.36525607068039,0.009506570448635674,-0.5448317489734414,-20.497343500731652,-20.06022415231648,-0.06057028676059874,-2.132565853714508,-1.9783546340645377,-1.921393546087105,-2.879215232529161,-26.554205651561915,-26.455523042263064,-0.37162704316499495
sample_000000030,-169.66016277035737,-163.90837985776332,0.027651375686873224,-3.3901788249368523,526.9953867279569,508.1058142803286,1.6788429867511965,-3.5843904753912685,-149.37121842127573,-144.35689292787768,-3.3569556079110288,-22.3709971043801,-21.558908209694383,-3.630096999684977
sample_000000031,-111.6454575554482,-110.39718684222053,0.01931865418069968,-1.1180667270835634,431.14126068301243,424.8685666644511,1.3222479448128295,-1.4549045963784888,-90.66419685031373,-89.43404545765202,-1.3568215849225314,-22.313756291152707,-22.276248633541492,-0.16809208239890383
sample_000000032,-38.66074192792208,-38.47743291387087,0.010591174961522476,-0.4741476880939508,164.0084605047073,162.91131406743332,0.5230804300662998,-0.6689572195834906,-11.542708144487522,-11.455063456943778,-0.7593078370053085,-27.26135376488522,-27.164730660252616,-0.3544325254935212
sample_000000033,-24.064585804204828,-23.7683923143307,0.008369758163163557,-1.2308272923707395,21.36173311977813,21.02070017235205,0.0576445642927643,-1.5964666607988276,0.8386712778973494,0.8300332599439891,-1.0299646811581333,-24.90279506839617,-24.59797093644288,-1.2240558986093
sample_000000034,-83.9502691470427,-84.1209478667582,0.01391139202789805,0.20330931806370403,321.8362349421212,321.94355790544205,1.04015486289892,0.03334707272477463,-60.09766107007553,-60.178769528513705,0.13496108998917355,-24.775279189661717,-24.865156547940202,0.3627703146771793
sample_000000035,-29.860434493016406,-30.03182681087887,0.01035968566859038,0.5739779771206841,14.01554084381721,13.928320151206755,0.037918466506804326,-0.6223141410124818,-2.5987253291426664,-2.602682889876574,0.15228853505703652,-27.257126526427964,-27.424589782875888,0.6143833844171172
